Rv tag,Mb tag,Gene,Mb length,Rv length,Rv-2 tag,Rv-2 length,% ID,AA overlap,% ID-2,AA overlap-2,Note,Alteration,Annotation,Fxnal Cat
5' end of Rv1257c,Mb1287c,, 99 aa, 455 aa , 3' end of Rv1255c, 202 aa ,89.50%,57 aa overlap ,83.60%,67 aa overlap," In Mycobacterium bovis, a 3007 bp deletion (RD13) leads to the fusion of Rv1257c and Rv1255c, and the deletion of Rv1256c, compared to Mycobacterium tuberculosis strain H37Rv.",Base deletion(s) leading to gene fusion event in M. bovis AF2122/97,probable transcriptional regulatory protein,intermediate metabolism and respiration
5' end of Rv2250A,Mb2275,, 529 aa ,139 aa,3' end of Rv2251,475 aa,100%,108 aa overlap,98.20%,433 aa overlap," In Mycobacterium tuberculosis H37Rv, Rv2250A and Rv2251 exist as 2 genes with an overlap region between them. In Mycobacterium bovis, a single base deletion (g-*) leads to a single product.",Base deletion(s) leading to gene fusion event in M. bovis AF2122/97,possible flavoprotein,intermediate metabolism and respiration
Rv0618,Mb0635,galT, 394 aa, 231 aa ,Rv0619,181 aa,99.50%, 219 aa overlap  ,99.40%, 174 aa overlap," In Mycobacterium tuberculosis strain H37Rv, galT is split into 2 parts, galT' and 'galT. In Mycobacterium bovis, an in-frame insertion of a single base (*-a) leads to a single product.",Base insertion(s) leading to gene fusion event in M. bovis AF2122/97,probable galactose-1-phosphate uridylyltransferase galtb [second part],intermediate metabolism and respiration
Rv0781,Mb0804,ptrB, 719 aa, 236 aa , Rv0782, 552 aa ,97.60%,206 aa overlap ,100.00%,517 aa overlap," In Mycobacterium tuberculosis strain H37Rv, ptrB is split into 2 genes, ptrBa and ptrBb, due to a frameshift. In Mycobacterium bovis, a 2 bp insertion (*-gc) leads to a single product.",Base insertion(s) leading to gene fusion event in M. bovis AF2122/97,probable protease ii ptrbb [second part] oligopeptidase b,intermediate metabolism and respiration
Rv1553,Mb1579,frdBC, 374 aa, 247 aa  ,Rv1554,126 aa,100%, 247 aa overlap  ,99.20%, 126 aa overlap," In Mycobacterium tuberculosis strain H37Rv, Rv1553 and Rv1554 exist as 2 genes. In Mycobacterium bovis, a 4 bp insertion (*-gggg) leads to a single product.",Base insertion(s) leading to gene fusion event in M. bovis AF2122/97,probable fumarate reductase [membrane anchor subunit] frdc fumarate dehydrogenase fumaric hydrogenase,intermediate metabolism and respiration
Rv1915,Mb1950,aceA, 766 aa ,367 aa,Rv1916,398 aa,89.10%,339 aa overlap,100%,398 aa overlap," In Mycobacterium tuberculosis strain H37Rv, aceAa and aceAb exist as 2 genes. In Mycobacterium bovis, a single base insertion (*-t) leads to a single product.",Base insertion(s) leading to gene fusion event in M. bovis AF2122/97,probable isocitrate lyase aceab [second part] isocitrase isocitratase icl,intermediate metabolism and respiration
Rv0083,Mb0086,, 642 aa, 640 aa ,,,99.80%,640 aa overlap,,," In Mycobacterium bovis, a single base transversion (a-t) leads to a slightly longer product compared to its homolog in Mycobacterium tuberculosis strain H37Rv (642 aa versus 640 aa).",Elongated protein in M. bovis AF2122/97,probable oxidoreductase,intermediate metabolism and respiration
Rv0457c,Mb0466c,, 676 aa, 673 aa ,,,100.00%,673 aa overlap,,," In Mycobacterium bovis, a possible RBS upstream leads to an earlier start resulting in a slightly longer product compared to its homolog in Mycobacterium tuberculosis strain H37Rv (676 aa versus 673 aa).",Elongated protein in M. bovis AF2122/97,probable peptidase,intermediate metabolism and respiration
Rv0864,Mb0888,moaC2, 142 aa ,167 aa,,,100%,142 aa overlap,,," In Mycobacterium bovis, a frameshift due to a single base deletion (g-*) leads to a different NH2 part compared to its homolog in Mycobacterium tuberculosis strain H37Rv.",Elongated protein in M. bovis AF2122/97,probable molybdenum cofactor biosynthesis protein c 2 moac2,intermediate metabolism and respiration
Rv1005c,Mb1032c,pabB, 478 aa ,458 aa,,,100%,458 aa overlap,,," In Mycobacterium bovis, a single base transition (g-a) leads to a longer product compared to its homolog in Mycobacterium tuberculosis strain H37Rv (478 aa versus 458 aa).",Elongated protein in M. bovis AF2122/97,probable para-aminobenzoate synthase component i pabd,intermediate metabolism and respiration
5' end of Rv1844c,Mb1875c,gnd1, 705 aa ,485 aa,,,99.50%,404 aa overlap,,," In Mycobacterium bovis, a single base insertion (c-*) leads to a longer product with a different COOH part compared to its homolog in Mycobacterium tuberculosis strain H37Rv (705 aa versus 485 aa).",Elongated protein in M. bovis AF2122/97,probable 6-phosphogluconate dehydrogenase gnd1,intermediate metabolism and respiration
Rv1939,Mb1974,, 244 aa ,171 aa,,,100%,167 aa overlap,,," In Mycobacterium bovis, a single base deletion (t-*) leads to a longer product with a different COOH part compared to its homolog in Mycobacterium tuberculosis H37Rv (244 aa versus 171 aa).",Elongated protein in M. bovis AF2122/97,probable oxidoreductase,intermediate metabolism and respiration
Rv3710,Mb3737,leuA, 701 aa ,644 aa,,,91.70%,701 aa overlap,,," In Mycobacterium bovis, an in-frame insertion of 171 bp leads to a longer product compared to its homolog in Mycobacterium tuberculosis (701 aa versus 644 aa).",Elongated protein in M. bovis AF2122/97,2-isopropylmalate synthase leua alpha-isopropylmalate synthase alpha-ipm synthetase ipms,intermediate metabolism and respiration
Rv3725,Mb3752,, 333 aa, 309 aa ,,,100.00%,250 aa overlap,,," In Mycobacterium bovis, a single base insertion (*-a) leads to a longer product with a different COOH part compared to its homolog in Mycobacterium tuberculosis (333 aa versus 309 aa).",Elongated protein in M. bovis AF2122/97,possible oxidoreductase,intermediate metabolism and respiration
middle part of  Rv1895,Mb1929,, 234 aa, 384 aa ,,,97.90%,234 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv1895 exists as a single gene. In Mycobacterium bovis, two frameshifts due to a single base deletion (a-*) and a single base insertion (*-t), consecutively, splits Rv1895 into 2 main parts, Mb1928 and Mb1929.",Frameshift in M. bovis AF2122/97,possible dehydrogenase [second part],intermediate metabolism and respiration
5' end of Rv0711,Mb0731,atsAa, 148 aa, 787 aa ,,,100.00%,148 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, atsA exists as a single gene. In Mycobacterium bovis, a single base transversion (g-t), introducing a stop codon, splits atsA into 2 parts, atsAa and atsAb.",Frameshift in M. bovis AF2122/97,possible arylsulfatase atsaa [first part] aryl-sulfate sulphohydrolase arylsulphatase,intermediate metabolism and respiration
3' end of Rv0711,Mb0732,atsAb, 636 aa, 787 aa ,,,100.00%,636 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, atsA exists as a single gene. In Mycobacterium bovis, a single base transversion (g-t), introducing a stop codon, splits atsA into 2 parts, atsAa and atsAb.",Frameshift in M. bovis AF2122/97,possible arylsulfatase atsab [second part] aryl-sulfate sulphohydrolase arylsulphatase,intermediate metabolism and respiration
5' end of Rv0794c,Mb0819c,, 299 aa, 499 aa ,,,100.00%,263 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv0794c exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (a-*) splits Mb0818c into 2 parts, Mb0818a and Mb0818b.",Frameshift in M. bovis AF2122/97,probable oxidoreductase [first part],intermediate metabolism and respiration
3' end of Rv0794c,Mb0818c,, 203 aa, 499 aa ,,,100.00%,203 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv0794c exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (a-*) splits Mb0818c into 2 parts, Mb0818 and Mb0819.",Frameshift in M. bovis AF2122/97,probable oxidoreductase [second part],intermediate metabolism and respiration
5' end of Rv1260,Mb1290,, 274 aa, 372 aa ,,,99.60%,260 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv1260 exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (g-*) splits Rv1260 into 2 parts, Mb1290 and Mb1291.",Frameshift in M. bovis AF2122/97,probable oxidoreductase [first part],intermediate metabolism and respiration
3' end of Rv1260,Mb1291,, 102 aa, 372 aa ,,,100%,102 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv1260 exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (g-*) splits Rv1260 into 2 parts, Mb1290 and Mb1291.",Frameshift in M. bovis AF2122/97,probable oxidoreductase [second part],intermediate metabolism and respiration
the5' end of Rv1373,Mb1407,, 265 aa, 326 aa ,,,100%,154 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv1373 exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base insertion (*-c) splits Rv1373 into 2 parts, Mb1407 and Mb1408.",Frameshift in M. bovis AF2122/97,glycolipid sulfotransferase [first part],intermediate metabolism and respiration
5' end of Rv1895,Mb1928,, 107 aa, 384 aa ,,,100.00%,96 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv1895 exists as a single gene. In Mycobacterium bovis, two frameshifts due to a single base deletion (a-*) and a single base insertion (*-t), consecutively, splits Rv1895 into 2 main parts, Mb1928 and Mb1929.",Frameshift in M. bovis AF2122/97,possible dehydrogenase [first part],intermediate metabolism and respiration
5' end of Rv2072c,Mb2099c,cobLa, 62 aa ,390 aa,,,97.72%,44 aa overlap,,," In Mycobacterium bovis, a large deletion of 2029 bp (H37Rv2.2330073-2332101-*) (RD9) leads to the loss of the NH2 part of cobL, the entire Rv2073 and Rv2074, and the COOH part of Mb2100c. In addition, while cobL exists as a single gene in Mycobacterium tuberculosis strain H37Rv, in Mycobacterium bovis a frameshift due to a single base insertion (*-t) splits cobL into 2 parts, cobLa and cobLb.",Frameshift in M. bovis AF2122/97,probable precorrin-6y methyltransferase cobla [first part],intermediate metabolism and respiration
3' end of Rv2072c,Mb2098c,cobLb, 294 aa, 390 aa ,,,99.70%,294 aa overlap,,," In Mycobacterium bovis, a large 2029 bp deletion (H37Rv2.2330073-2332101-*)(RD9) leads to the loss of the NH2 part of cobL, the entire Rv2073 and Rv2074, and the COOH part of Mb2100c. In addition, while cobL exists as a single gene in Mycobacterium tuberculosis strain H37Rv, in Mycobacterium bovis a frameshift due to a single base insertion (*-t) splits cobL into 2 parts, cobLa and cobLb.",Frameshift in M. bovis AF2122/97,probable precorrin-6y methyltransferase coblb [second part],intermediate metabolism and respiration
5' end of Rv2780,Mb2802,alda, 132 aa ,371 aa,,,98.90%,89 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, ald exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (a-*) splits ald into 2 parts, alda and aldb.",Frameshift in M. bovis AF2122/97,secreted l-alanine dehydrogenase alda [first part] 40 kda antigen tb43,intermediate metabolism and respiration
3' end of Rv2780,Mb2803,aldb, 239 aa, 371 aa ,,,100.00%,239 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, ald exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (a-*) splits ald into 2 parts, alda and aldb.",Frameshift in M. bovis AF2122/97,secreted l-alanine dehydrogenase aldb [second part] 40 kda antigen tb43,intermediate metabolism and respiration
5' end of Rv3176c,Mb3202c,mesTa, 208 aa, 318 aa ,,,100.00%,201 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, mesT exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (c-*) splits mesT into 2 parts, mesTa and mesTb.",Frameshift in M. bovis AF2122/97,probable epoxide hydrolase mesta [first part] epoxide hydratase arene-oxide hydratase,intermediate metabolism and respiration
3' end of Rv3176c,Mb3201c,mesTb, 105 aa, 318 aa ,,,100.00%,105 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, mesT exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (c-*) splits mesT into 2 parts, mesTa and mesTb.",Frameshift in M. bovis AF2122/97,probable epoxide hydrolase mestb [second part] epoxide hydratase arene-oxide hydratase,intermediate metabolism and respiration
5' end of Rv3518c,Mb3548c,cyp142a, 205 aa, 398 aa ,,,100.00%,197 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, cyp142 exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (c-*) splits cyp142 into 2 parts, cyp142a and cyp142b.",Frameshift in M. bovis AF2122/97,probable cytochrome p450 monooxygenase 142 cyp142a [first part],intermediate metabolism and respiration
3' end of Rv3518c,Mb3547c,cyp142b, 193 aa, 398 aa ,,,100.00%,193 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, cyp142 exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (c-*) splits cyp142 into 2 parts, cyp142a and cyp142b.",Frameshift in M. bovis AF2122/97,probable cytochrome p450 monooxygenase 142 cyp142b [second part],intermediate metabolism and respiration
