Rv tag,Mb tag,Gene,Mb length,Rv length,Rv-2 tag,Rv-2 length,% ID,AA overlap,% ID-2,AA overlap-2,Note,Alteration,Annotation,Fxnal Cat
Rv1549,Mb1576,fadD11, 647 aa, 175 aa  ,Rv1550,571 aa,100%, 167 aa overlap  ,99.80%, 470 aa overlap," In Mycobacterium tuberculosis strain H37Rv, Rv1549 and Rv1550 exist as 2 genes. In Mycobacterium bovis, a two single base insertions (*-c and *-c) lead to a single product.",Base insertion(s) leading to gene fusion event in M. bovis AF2122/97,probable fatty-acid-coa ligase fadd11 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv2947c,Mb2971c,pks1, 2112 aa, 496 aa , Rv2946c, 1616 aa ,99.60%,488 aa overlap ,99.90%,1616 aa overlap," In Mycobacterium tuberculosis H37Rv, pks1 and pks15 exist as 2 genes. In Mycobacterium bovis, a single base insertion (*-g) results in a single product that is more similar to pks1.",Base insertion(s) leading to gene fusion event in M. bovis AF2122/97,probable polyketide synthase pks15,lipid metabolism
Rv3234c,Mb3262c,tgs3, 469 aa, 271 aa , Rv3233c, 196 aa ,100.00%,266 aa overlap ,100.00%,196 aa overlap," In Mycobacterium tuberculosis H37Rv, Rv3234c and Rv3233c exist as 2 genes. In Mycobacterium bovis, a single base insertion (*-g) leads to a single product that is more similar to Rv3234c.",Base insertion(s) leading to gene fusion event in M. bovis AF2122/97,possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
Rv1180,Mb1213,pks3, 2085 aa, 488 aa , Rv1181, 1582 aa ,100%,488 aa overlap ,99.90%,1582 aa overlap," In Mycobacterium tuberculosis strain H37Rv, Rv1180 and Rv1181 exist as 2 genes. In Mycobacterium bovis, a single base transversion (a-c) leads to a single product (similar to other organisms).",Base transversion(s) leading to gene fusion event in M. bovis AF2122/97,probable polyketide beta-ketoacyl synthase pks4,lipid metabolism
Rv3373,Mb3408,echA18, 296 aa, 213 aa , Rv3374, 82 aa ,100.00%,213 aa overlap ,100.00%,82 aa overlap," In Mycobacterium tuberculosis H37Rv, echA18 and echA18' exist as 2 genes. In Mycobacterium bovis, a single base transversion (t-g) leads to a single product.",Base transversion(s) leading to gene fusion event in M. bovis AF2122/97,probable enoyl-coa hydratase fragment echa18.1 enoyl hydrase unsaturated acyl-coa hydratase crotonase,lipid metabolism
Rv0215c,Mb0221c,fadE3, 388 aa, 357 aa ,,,100.00%,356 aa overlap,,," In Mycobacterium bovis, a 29 bp insertion leads to a longer product compared to its homolog in Mycobacterium tuberculosis strain H37Rv (388 aa versus 357 aa).",Elongated protein in M. bovis AF2122/97,probable acyl-coa dehydrogenase fade3,lipid metabolism
the5' end of Rv1760,Mb1791,, 509 aa, 502 aa ,,,99.50%,442 aa overlap,,," In Mycobacterium bovis, a frameshift due to a single base deletion (c-*) leads to a longer product with a different COOH part compared to its homolog in Mycobacterium tuberculosis strain H37Rv.",Elongated protein in M. bovis AF2122/97,possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
5' end of Rv0405,Mb0412,pks6a, 460 aa, 1402 aa ,,,100.00%,456 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, pks6 exists as a single gene. In Mycobacterium bovis, a frameshift due to single base insertion (*-g) splits pks6 into 2 parts, pks6a and pks6b.",Frameshift in M. bovis AF2122/97,probable membrane bound polyketide synthase pks6a [first part],lipid metabolism
3' end of Rv0405,Mb0413,pks6b, 946 aa, 1402 aa ,,,99.90%,945 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, pks6 exists as a single gene. In Mycobacterium bovis, a frameshift due to single base insertion (*-g), splits pks6 into 2 parts, pks6a and pks6b.",Frameshift in M. bovis AF2122/97,probable membrane bound polyketide synthase pks6b [second part],lipid metabolism
the5' end of Rv1715,Mb1742,fadB3a, 187 aa, 304 aa ,,,100%,187 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv1715/fadB3 exists as a single gene. In Mycobacterium bovis, a single base transition (g-a) splits fadB3 into 2 parts, fadB3a and fadB3b.",Frameshift in M. bovis AF2122/97,probable 3-hydroxybutyryl-coa dehydrogenase fadb3a [first part] beta-hydroxybutyryl-coa dehydrogenase bhbd,lipid metabolism
the3' end of Rv1715,Mb1743,fadB3b, 97 aa, 304 aa ,,,100%,97 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv1715/fadB3 exists as a single gene. In Mycobacterium bovis, a single base transition (g-a) splits fadB3 into 2 parts, fadB3a and fadB3b.",Frameshift in M. bovis AF2122/97,probable 3-hydroxybutyryl-coa dehydrogenase fadb3b [second part] beta-hydroxybutyryl-coa dehydrogenase bhbd,lipid metabolism
3' end of Rv2187,Mb2210,fadD15, 508 aa, 600 aa ,,,99.60%,508 aa overlap,,," In Mycobacterium bovis, a frameshift due to single base deletion (t-*) leads to a shorter product with a different NH2 part compared to its homolog in Mycobacterium tuberculosis strain H37Rv.",Frameshift in M. bovis AF2122/97,probable long-chain-fatty-acid-coa ligase fadd15 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
5' end of Rv3061c,Mb3088c,fadE22a, 114 aa, 721 aa ,,,100.00%,111 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, fadE22 exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base insertion (*-c) splits fadE22 into 2 parts, fadE22a and fadE22b.",Frameshift in M. bovis AF2122/97,probable acyl-coa dehydrogenase fade22a [first part],lipid metabolism
3' end of Rv3061c,Mb3087c,fadE22b, 600 aa, 721 aa ,,,100.00%,600 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, fadE22 exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base insertion (*-c) splits fadE22 into 2 parts, fadE22a and fadE22b.",Frameshift in M. bovis AF2122/97,probable acyl-coa dehydrogenase fade22b [second part],lipid metabolism
5' end of Rv3480c,Mb3510c,, 217 aa, 497 aa ,,,98.60%,216 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv3480c exists as a single gene. In Mycobacterium bovis, a frameshift due to a 2 bp deletion (gt-*) splits Rv3480c into 2 parts, Mb3509c and Mb3510c.",Frameshift in M. bovis AF2122/97,conserved hypothetical protein [first part],lipid metabolism
