Rv tag,Mb tag,Gene,Mb length,Rv length,Rv-2 tag,Rv-2 length,% ID,AA overlap,% ID-2,AA overlap-2,Note,Alteration,Annotation,Fxnal Cat
Rv0590,Mb0605,mce2B, 343 aa, 275 aa , Rv0590A, 84 aa ,100.00%,255 aa overlap ,100.00%,84 aa overlap," In Mycobacterium tuberculosis strain H37Rv, mce2B and Rv0590A are 2 genes, most likely to be linked. In Mycobacterium bovis, an in-frame insertion of a single base (*-g) leads to a single product.",Base insertion(s) leading to gene fusion event in M. bovis,mce-family related protein,"virulence, detoxification,adaptation"
5' end of Rv0024,Mb0024,, 277 aa, 281 aa ,,,100.00%,192 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv0024 exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (c-*) splits Rv0024 into 2 parts, Mb0024 and Mb0025.",Frameshift in M. bovis,putative secreted protein p60-related protein [first part],"virulence, detoxification,adaptation"
5' end of Rv0549c,Mb0564c,vapc3, 102 aa,137 aa,,,100.00%,92 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv0549c exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (t-*), splits Rv0549c into 2 parts, Mb0563c and Mb0564c.",Frameshift in M. bovis,conserved hypothetical protein [first part],"virulence, detoxification,adaptation"
3' end of Rv0549c,Mb0563c,vapc3, 45 aa ,137 aa,,,100.00%,45 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv0549c exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base deletion (t-*), splits Rv0549c into 2 parts, Mb0563c and Mb0564c.",Frameshift in M. bovis,conserved hypothetical protein [second part],"virulence, detoxification,adaptation"
5' end of Rv0592,Mb0607,mce2Da, 478 aa, 508 aa ,,,99.20%,471 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, mce2D exists as a single gene. In Mycobacterium bovis, a frameshift due to a single base insertion (*-c) splits mce2D into 2 parts, mce2Da and mce2Db.",Frameshift in M. bovis,mce-family protein mce2da [first part],"virulence, detoxification,adaptation"
the5' end of Rv1563c,Mb1590c,treYa, 250 aa, 765 aa ,,,97.40%,191 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv1563c/treY exists as a single gene. In Mycobacterium bovis, a large deletion of 806 bp splits Rv1563c in two parts, treYa and treYb.",Frameshift in M. bovis,maltooligosyltrehalose synthase treya [first part],"virulence, detoxification,adaptation"
the3' end of Rv1563c,Mb1589c,treYb, 244 aa, 765 aa ,,,100%,244 aa overlap,,," In Mycobacterium tuberculosis strain H37Rv, Rv1563c/treY exists as a single gene. In Mycobacterium bovis, a large deletion of 806 bp splits Rv1563c into two parts, treYa and treYb.",Frameshift in M. bovis,maltooligosyltrehalose synthase treyb [second part],"virulence, detoxification,adaptation"
,Mb1784c,plcD,514aa,,,,,,,,RvD2,M. bovis specific,,
Rv0064A,Mb0065A,vapB1, 79 aa, 79 aa ,,,98.70%,79 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),possible antitoxin vapb1,"virulence, detoxification,adaptation"
Rv0127,Mb0132,mak, 455 aa, 455 aa ,,,99.80%,455 aa overlap,,,Non-synonymous SNP leading to amino acid change(s) between Mycobacterium tuberculosis H37Rv and Mycobacterium bovis AF2122/97,Non-syn SNP(s),maltokinase mak,"virulence, detoxification,adaptation"
