,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Gene,,,,,,,,,,,RNA,,,,Protein,,,,
Gene pair,Rv tag,Mb tag,Gene,Annotation,Fxnal anno,Enzyme,Pathway,Theme,Reaction,Orthology,TB TPM avg,Bov TPM avg,log2FC ,padj,06hr_ctrl,pval06hr,24hr_ctrl,pval24hr,Avg
3' end of Rv0933/Mb0958,Rv0933,Mb0958,pstBb,PHOSPHATE-TRANSPORT PROTEIN ABC TRANSPORTER PSTBb [SECOND PART],cell wall and cell processes,phosphate transport via ATPase,"Transport reactions, Proton-linked active transport",Transport reaction,PI_xt + ATP = 2 PI + ADP ,Variable,221.852874856799,100.7482555,-1.13884839084895,0.0000385,-2.8845751,0.0000000000000291196,-3.027801615,0,-2.956188357
5' end of Rv0933/Mb0957,Rv0933,Mb0957,pstBa,PHOSPHATE-TRANSPORT PROTEIN ABC TRANSPORTER PSTBa [FIRST PART],cell wall and cell processes,phosphate transport via ATPase,"Transport reactions, Proton-linked active transport",Transport reaction,PI_xt + ATP = 2 PI + ADP ,Variable,221.852874856799,113.5205004,-0.966650394818793,0.000106099,-2.8845751,0.0000000000000291196,-3.027801615,0,-2.956188357
5' end of Rv2030c/Mb2056c,Rv2030c,Mb2056c,0,CONSERVED HYPOTHETICAL PROTEIN [FIRST PART],conserved hypotheticals,-,-,-,-,Variable,74.3239269053503,98.54190505,0.406910634057655,0.647309018,-3.473268071,0,-2.913963184,0.000000000000197262,-3.193615628
3' end of Rv2030c/Mb2055c,Rv2030c,Mb2055c,0,CONSERVED HYPOTHETICAL PROTEIN [SECOND PART],conserved hypotheticals,-,-,-,-,Variable,74.3239269053503,27.21621802,-1.44936012544968,0.038314557,-3.473268071,0,-2.913963184,0.000000000000197262,-3.193615628
Rv1751/Mb1780,Rv1751,Mb1780,0,PROBABLE OXIDOREDUCTASE,intermediary metabolism and respiration,-,-,-,-,Variable,536.801246449896,199.0715126,-1.43110123744292,0.00014675,-2.101831124,0.000000000000269784,-2.117132471,0.000000000000248426,-2.109481797
Rv1196/Mb1228,Rv1196,Mb1228,PPE18,ppe family protein ppe18,PE/PPE,-,-,-,-,Variable,2978.37314881452,556.2690862,-2.42066967762403,0.00000314,-2.444980873,0.000000000000418402,-2.339951892,0.000000000000778287,-2.392466382
Rv1161/Mb1193,Rv1161,Mb1193,narG,respiratory nitrate reductase alpha chain narg,intermediary metabolism and respiration,"nitrate reductase narGHIJ, or fused narX",Nitrogen metabolism,Other,MKH2 + NO3 + 0.001 MOLYBDENUM = MK + NO2 + 2 H,Variable,512.450510866231,40.75255075,-3.65245041793875,0.000000000986,-2.071182503,0.00000000000139609,-2.203570429,0.000000000000580935,-2.137376466
5' end of Rv3479/Mb3507,Rv3479,Mb3507,0,HYPOTHETICAL PROTEIN [FIRST PART],conserved hypotheticals ,-,-,-,-,Variable,200.115726003982,75.14444108,-1.41309625760561,0.003002049,-2.418365064,0.000000000000797623,-2.357366905,0.00000000000144766,-2.387865984
3' end of Rv3479/Mb3508,Rv3479,Mb3508,0,HYPOTHETICAL TRANSMEMBRANE PROTEIN [SECOND PART],cell wall and cell processes,-,-,-,-,Variable,200.115726003982,28.83136373,-2.79512356172709,0.000410833,-2.418365064,0.000000000000797623,-2.357366905,0.00000000000144766,-2.387865984
Rv3890c/Mb3919c,Rv3890c,Mb3919c,esxC,esat-6 like protein esxc esat-6 like protein 11,conserved hypotheticals,-,-,-,-,Variable,208.689285818398,95.74208568,-1.12413139424622,0.001205259,-2.629566206,0.00000000000899795,-3.128065265,0.000000000000801759,-2.878815736
