,,,,,,,,,,,,,,,,,,,
Gene,,,,,,,,,,,RNA,,,,Protein,,,,
Gene pair,Rv tag,Mb tag,Gene,Annotation,Fxnal anno,Enzyme,Pathway,Theme,Reaction,Orthology,TB TPM avg,Bov TPM avg,log2FC ,padj,06hr_ctrl,pval06hr,24hr_ctrl,pval24hr,Avg
Rv0618/Mb0635,Rv0618,Mb0635,galT,probable galactose-1-phosphate uridylyltransferase galtb [second part],intermediary metabolism and respiration,"UTP-hexose-1-phosphate uridylyltransferase, galTa, galTb","C6 Compounds, Galactose",Carbon metabolism (excluding central carbon metabolism),GAL1P + UTP = PPI + UDPGAL,Variable,62.89196058,50.38041229,-0.320012682,0.287282721,0.814174573,0.096184092,1.583762437,0.002258867,1.198968505
Rv3509c/Mb3539c,Rv3509c,Mb3539c,ilvX,probable acetohydroxyacid synthase ilvx %28acetolactate synthase%29,intermediate metabolism and respiration,"acetolactate synthase ilvX, ilvG, ilvB1, ilvB2","Amino acid biosynthesis, Branched chain amino acids, Isoleucine",Amino acid metabolism,OBUT + PYR = ABUT + CO2,Identical,83.13549872,88.64228593,0.019812509,0.940255731,0.477397909,0.093371051,1.007622708,0.001089731,0.742510308
Rv3154/Mb3178,Rv3154,Mb3178,nuoJ,probable nadh dehydrogenase i %28chain j%29 nuoj %28nadh-ubiquinone oxidoreductase chain j%29,intermediate metabolism and respiration,"type I NADH dehydrogenase, nuoA-N",Energy metabolism,Other,MK + NADH = 4.0 H + MKH2 + NAD,Identical,323.5433233,430.325365,0.257195437,0.356426272,0.330126957,0.09311595,0.88666867,0.000109257,0.608397814
Rv3054c/Mb3080c,Rv3054c,Mb3080c,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,13.59687359,13.54099961,1.081647471,NA,1.719242496,0.000000649182,0.410482671,0.087852429,1.064862584
Rv3375/Mb3409,Rv3375,Mb3409,amiD,probable amidase amid %28acylamidase%29 %28acylase%29,intermediate metabolism and respiration,-,-,-,-,Identical,59.09983646,40.21130185,-0.640021883,0.007039707,0.461626142,0.07506282,0.662277885,0.011348101,0.561952014
Rv2994/Mb3018,Rv2994,Mb3018,0,probable conserved integral membrane protein,cell wall and cell processes,-,-,-,-,Identical,108.5095114,182.5187254,0.76228265,0.00000000639553,0.684920896,0.033726125,0.617641414,0.047903997,0.651281155
Rv2450c/Mb2477c,Rv2450c,Mb2477c,rpfE,PROBABLE RESUSCITATION-PROMOTING FACTOR RPFE,cell wall and cell processes,-,-,-,-,Variable,402.5685343,59.67160486,-2.754117929,0.000123762,0.778828907,0.000449787,0.342254681,0.075123506,0.560541794
Rv2196/Mb2219,Rv2196,Mb2219,qcrB,probable ubiquinol-cytochrome c reductase qcrb %28cytochrome b subunit%29,intermediate metabolism and respiration,"aa3-type cytochrome c oxidase, ctaCDE AND cytochrome bc1 Or bd-type menaquinol oxidase",Energy metabolism,Other,2.0 HEME_FE3 + MKH2 = 2.0 HEME_FE2 + MK,Identical,767.5368757,696.5811723,-0.191221208,0.291539642,0.349882887,0.07358198,0.795168357,0.000293175,0.572525622
Rv1927/Mb1962,Rv1927,Mb1962,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,117.8906508,73.73062122,-0.691897192,0.000000000560736,0.494386539,0.062664156,0.716724251,0.007979484,0.605555395
Rv1320c/Mb1354c,Rv1320c,Mb1354c,0,POSSIBLE ADENYLATE CYCLASE ATP PYROPHOSPHATE-LYASE ADENYLYL CYCLASE,intermediary metabolism and respiration,-,-,-,-,Variable,136.0927887,114.2749262,-0.252081736,0.049607123,0.42032347,0.06345974,0.722915922,0.002394747,0.571619696
Rv0499/Mb0510,Rv0499,Mb0510,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,85.71809475,80.84846174,-0.180125734,0.41772448,0.589813934,0.056439767,0.951105669,0.003156359,0.770459802
Rv3784/Mb3813,Rv3784,Mb3813,rfbB,possible dtdp-glucose 4%2c6-dehydratase,intermediate metabolism and respiration,"dTDP-glucose-4,6-dehydratase rmlB/rmlB2/rmlB3/epiB","synthesis of arabinogalactan (incomplete), dTDP-Rhamnose Synthesis",Cell wall synthesis,DTDPGLC = DTDP4DH6DGLC,Identical,66.74614402,45.23143039,-0.607499661,0.015531601,0.523644167,0.0492133,0.718567157,0.008905349,0.621105662
