,,,,,,,,,,,,,,,,,,,
Gene,,,,,,,,,,,RNA,,,,Protein,,,,
Gene pair,Rv tag,Mb tag,Gene,Annotation,Fxnal anno,Enzyme,Pathway,Theme,Reaction,Orthology,TB TPM avg,Bov TPM avg,log2FC ,padj,06hr_ctrl,pval06hr,24hr_ctrl,pval24hr,Avg
Rv1687c/Mb1713c,Rv1687c,Mb1713c,0,probable conserved atp-binding protein abc transporter,cell wall and cell processes,ABC transporters,"lipid biosynthesis, Synthesis of mycolic acids, MYCOLIC ACID CONDENSATION",Lipid biosyntheis,0.48 ATP + 0.48 TREHALOSEMONOMYCOLATE(CY) = 0.48 ADP + 0.48 PI + TREHALOSEMONOMYCOLATE,Identical,16.93283396,18.3644706,0.877728789,NA,-0.877046504,0.037268378,-0.759640289,0.061746326,-0.818343396
Rv1632c/Mb1658c,Rv1632c,Mb1658c,0,hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,366.9842741,235.7995146,-0.686752767,0.0000203391,-0.531896486,0.095721731,-1.151085656,0.000937087,-0.841491071
Rv3024c/Mb3050c,Rv3024c,Mb3050c,trmU,probable trna %285-methylaminomethyl-2-thiouridylate%29-methyltransferase trmu,information pathways,-,-,-,-,Identical,97.32567468,80.72515686,-0.27759197,0.039214596,-0.722819819,0.035339036,-0.624675754,0.060733859,-0.673747787
Rv0258c/Mb0264c,Rv0258c,Mb0264c,0,conserved hypothetical protein,Conserved hypothetical protein,-,-,-,-,Identical,29.39144437,35.33626739,0.459287037,0.073904891,-1.08484163,0.049511523,-1.097650386,0.041219782,-1.091246008
Rv3085/Mb3112,Rv3085,Mb3112,0,probable short-chain type dehydrogenase/reductase,intermediate metabolism and respiration,-,-,-,-,Identical,18.90798515,6.063570154,-1.317980021,0.000114204,-1.333119807,0.042323922,-1.258887252,0.048201709,-1.296003529
Rv3053c/Mb3079c,Rv3053c,Mb3079c,nrdH,probable glutaredoxin electron transport component of nrdef %28glutaredoxin-like protein%29 nrdh,information pathways,-,-,-,-,Identical,3620.698739,1334.749272,-1.346535217,0.00000262962,-0.740761969,0.08910132,-2.133257818,0.0000451531,-1.437009894
Rv0179c/Mb0185c,Rv0179c,Mb0185c,lprO,possible lipoprotein lpro,cell wall and cell processes,-,-,-,-,Variable,296.3149959,401.0273027,0.436568821,0.082710369,-1.162880985,0.060803989,-1.343399824,0.028065008,-1.253140405
Rv0890c/Mb0914c,Rv0890c,Mb0914c,0,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN PROBABLY LUXR-FAMILY,regulatory proteins,-,-,-,-,Variable,122.6512118,84.6302777,-0.535315682,0.015392256,-0.831244445,0.047822125,-0.837294927,0.04008524,-0.834269686
Rv0485/Mb0495,Rv0485,Mb0495,0,possible transcriptional regulatory protein,regulatory proteins,-,-,-,-,Identical,756.8223065,425.695938,-0.707814343,0.000334098,-1.090234141,0.00000000857427,-0.192013517,0.08444102,-0.641123829
Rv2463/Mb2490,Rv2463,Mb2490,lipP,probable esterase/lipase lipp,intermediate metabolism and respiration,-,-,-,-,Identical,388.0556155,337.0659125,-0.269984118,0.226701243,-0.684317649,0.017106781,-0.513583346,0.060909596,-0.598950498
